id,age_0_9,age_10s,age_20s,age_30s,age_40s,age_50_plus,gender_male,gender_female,reason,impressions
X2a1RvrMGyU,0.0,0.0,0.0,0.0,0.05,0.95,0.95,0.05,This video primarily targets older men by addressing health issues related to prostate problems and offering solutions like self-stimulation. The content's focus on elderly male health and specific age-related issues makes it most relevant to men over 50.,118
lXYBBC_uY-g,0.0,0.1,0.7,0.15,0.05,0.0,0.9,0.1,"This video is likely to appeal mostly to young adult males, particularly those in their 20s, who have either served in the military or are interested in military life. The content revolves around military humor and experiences, which are more relatable and entertaining to a male audience familiar with such environments.",109
v0O8ygCu2jQ,0.0,0.05,0.5,0.35,0.1,0.0,0.9,0.1,"This video likely appeals to a male audience interested in mixed martial arts, primarily within the age range of 20-30s, due to its focus on a UFC debut and fighter's journey. The intense and competitive nature of MMA tends to attract younger male viewers seeking adrenaline and excitement.",259
ia7Ur2H0IWs,0.01,0.15,0.45,0.25,0.1,0.04,0.85,0.15,"This video is likely to attract a younger audience, primarily in their 20s and 30s, who can relate to or are interested in military life and its challenges. The content seems to be more appealing to male viewers due to its military theme and intense situations.",295
ryrxKak5y8s,0.01,0.05,0.3,0.35,0.2,0.09,0.85,0.15,"This video primarily focuses on MMA and UFC content, which tends to attract a male audience interested in sports and martial arts. The casual and conversational style, along with the focus on travel and training, is expected to appeal mostly to young adults and middle-aged viewers.",103
0SJynjqwncU,0.05,0.65,0.25,0.03,0.01,0.01,0.85,0.15,"This video focuses on gaming content, specifically about game updates and bugs, which is highly popular among teenage and young adult male audiences. The informal language and gaming jargon used suggest it targets a younger demographic interested in competitive and fast-paced gaming scenarios.",157
5ot-JKgNfV0,0.01,0.05,0.15,0.25,0.3,0.24,0.85,0.15,"This video mainly appeals to middle-aged men interested in fishing and outdoor activities, as reflected in the detailed fishing discussions and the focus on alcohol consumption. The conversational style and content are less likely to attract a younger audience or female viewers.",116
7rpwZLmAO4M,0.0,0.3,0.5,0.15,0.05,0.0,0.85,0.15,"This video appears to focus on themes related to military life, camaraderie, and personal growth, which are likely to resonate with younger male viewers, particularly those in their 20s. The language and subject matter suggest a target audience with some interest or experience in military culture, which traditionally skews towards a younger male demographic.",867
D4ytmR0rCYI,0.05,0.7,0.2,0.05,0.0,0.0,0.8,0.2,"This video seems to be targeted towards a younger audience, particularly teenagers, due to its anime and action themes. It's also likely to attract more male viewers as it mentions elements like spies, action, and adventure which are more traditionally appealing to young males.",107
AOhXTGhn9F4,0.0,0.1,0.2,0.4,0.2,0.1,0.8,0.2,"This video is likely to appeal to viewers who enjoy military-themed dramas, which often resonate with men in their 30s and 40s who have military experience. The complex plot and character development are also attractive to slightly older demographics who appreciate intricate storytelling.",1040
acc2jb-vqKI,0.0,0.1,0.3,0.3,0.2,0.1,0.8,0.2,"This video likely appeals to a male audience interested in military service and experiences, which is a topic often followed by men either considering conscription or with past military experience. The age distribution reflects younger adults and middle-aged viewers who can relate to or reminisce about military service.",1098
O1uMt06eOmk,0.0,0.1,0.7,0.15,0.05,0.0,0.8,0.2,"This video primarily focuses on a football-related trip, including a VIP tour and interactions with football players, which is likely to appeal to young adult males, particularly those in their 20s. The casual and humorous tone, along with sports and travel elements, further align with male viewers who have an interest in sports and lifestyle vlogs.",1346
7f6-TrfE73Q,0.0,0.2,0.6,0.15,0.05,0.0,0.8,0.2,"This video is likely to attract a younger audience, particularly those in their 20s, due to its humorous and challenge-based content. The adventurous and extreme theme appeals more to a male demographic, as they are often more engaged with endurance and challenge videos.",196
Xhy3m15MUgA,0.0,0.2,0.6,0.2,0.0,0.0,0.8,0.2,"This video likely appeals to a younger audience, particularly those in their 20s, due to its casual conversation style and focus on contemporary social interactions. The humor and informal dialogue suggest a skew towards a male demographic, possibly reflecting the interests of younger male viewers.",172
VYUx0LEaFVg,0.01,0.15,0.55,0.2,0.07,0.02,0.8,0.2,"This video delves into the intricate lore and mechanics of a popular anime series, which typically attracts a younger male audience, especially those in their 20s who are avid anime enthusiasts. The technical analysis and complex themes align with interests commonly found among this demographic, skewing more towards male viewers.",190
gg2qL3W8fzs,0.05,0.6,0.3,0.04,0.01,0.0,0.8,0.2,"This video seems to be a heavily anime-themed content, likely centered around a popular series like Naruto. Such content typically appeals to a younger audience, particularly teenagers and young adults, with a male-dominant viewership.",201
uTC1d8H1OmY,0.05,0.7,0.2,0.03,0.01,0.01,0.8,0.2,"This video is likely to appeal to teenagers and young adults due to its focus on imaginative and quirky fictional characters, along with references to popular culture. The emphasis on battle strategies and character abilities might attract a predominantly male audience interested in gaming and fantasy genres.",176
15dbnu4awak,0.0,0.05,0.1,0.3,0.4,0.15,0.8,0.2,"This video focuses on installing solar panels and energy solutions, which may appeal more to male viewers in their 30s and 40s interested in home improvement and technology. The technical and practical nature of the content is likely to attract a mature audience with a significant interest in energy efficiency.",105
7zkvm-SxgBM,0.0,0.05,0.3,0.4,0.2,0.05,0.8,0.2,"This video likely appeals to a predominantly male audience interested in fitness and extreme challenges, typical of those in their 20s and 30s. The content's focus on diet experiments and physical results aligns with interests in health and bodybuilding.",101
sqOwr-yoCeI,0.0,0.1,0.5,0.3,0.1,0.0,0.8,0.2,"This video primarily appeals to young adults, particularly those in their 20s and 30s, given its nostalgic and humorous approach to military life. The heavily male-oriented content and military theme further suggest a predominantly male audience.",129
-p48TC9OBlI,0.0,0.1,0.4,0.3,0.15,0.05,0.8,0.2,"This video primarily targets sports enthusiasts, particularly those interested in baseball, a sport more popular among males in their 20s and 30s. Additionally, the conversational style and specific cultural references may appeal less to younger viewers and more to adult fans familiar with the context.",235
ZhWhCWeIChw,0.05,0.1,0.3,0.35,0.15,0.05,0.8,0.2,"This video mainly appeals to those interested in sports, particularly soccer, and involves strategic team selection, which is often favored by a male audience in their 20s and 30s. The competitive and analytical nature of the content aligns with the interests of young to middle-aged adults who enjoy sports analysis and fantasy league drafts.",180
2r73o10eUjI,0.0,0.1,0.2,0.4,0.2,0.1,0.8,0.2,"This video is a detailed commentary of a professional baseball game, which is typically popular among male viewers. The interest in baseball in South Korea is high among adults in their 30s and 40s, who are likely to follow the sport more actively.",204
DaOHC4fU3FY,0.0,0.1,0.6,0.2,0.1,0.0,0.8,0.2,"This video appears to target young adults primarily in their 20s due to its use of casual slang, themes around finance and social interactions typical of that age group. The content's humor and informal tone seem to appeal more to a male audience.",133
1O6mYIIV0AY,0.05,0.6,0.3,0.05,0.0,0.0,0.8,0.2,"This video is likely to attract younger viewers, especially teenagers, due to its comedic and informal style focusing on eating challenges and friendly banter. The humor and content appeal more to a male audience, who might find the playful rivalry and exaggerated expressions entertaining.",307
JcNk2V0CnyY,0.0,0.1,0.5,0.3,0.1,0.0,0.8,0.2,"This video likely appeals to young to middle-aged adults, particularly those interested in fantasy and adventure narratives. The heavy focus on martial arts and heroism suggests a higher male viewership.",516
q_RALtCWwyU,0.01,0.05,0.3,0.4,0.2,0.04,0.8,0.2,"This video is likely targeting viewers interested in trucking and logistics, typically more relevant to adults aged 20-40 with a slight skew towards males due to the industry. The content involves practical advice on truck operations, making it less appealing to younger audiences and women.",141
L3ocEhE-rfA,0.0,0.0,0.05,0.15,0.25,0.55,0.8,0.2,"This video discusses financial planning, retirement, and career experiences, which are topics of particular interest to older age groups, especially those in their 50s and above. The focus on traditional career paths and financial security appeals more to a male audience, likely due to the professional context and historical male-dominance in financial sectors.",146
LOTEH48Oav8,0.01,0.05,0.15,0.3,0.3,0.19,0.8,0.2,"This video is likely to attract an audience interested in historical and action themes, which typically appeal to older male viewers. The intense drama and historical context suggest an appeal towards an audience with a mature understanding of samurai culture and its implications.",128
ixkAyuN0-LQ,0.01,0.05,0.1,0.3,0.25,0.29,0.8,0.2,"This video contains a mix of political discussion, technology concerns, and a touch of humor, which typically attracts an older male audience. The content's focus on current affairs and technical details is likely to engage viewers primarily in their 30s and above.",137
ahoeFYiJBYE,0.0,0.1,0.4,0.3,0.15,0.05,0.8,0.2,"This video appears to feature humor and content primarily related to billiards and spicy food challenges, which tend to resonate more with younger audiences and adults in their 20s and 30s. The use of casual and competitive language, along with scenes of camaraderie, may appeal more to male viewers.",120
HoS7mffQ2YQ,0.01,0.3,0.4,0.2,0.07,0.02,0.75,0.25,"This video appears to be action-packed with themes of survival and warfare, which typically appeals to a younger audience, particularly those in their teens and twenties. The aggressive and intense language, along with the focus on battles and survival strategies, suggests a higher likelihood of male viewership.",290
muWSuz2le7Y,0.01,0.25,0.5,0.15,0.06,0.03,0.75,0.25,"This video features survival challenges on a deserted island, which typically appeal to younger audiences, particularly in their teens and twenties. The adventurous and competitive nature of the content is likely to attract more male viewers than female viewers.",105
9AEOx3yt_yQ,0.05,0.5,0.3,0.1,0.03,0.02,0.75,0.25,"This video is likely to appeal to a younger audience, particularly teenagers, due to its experimental nature and casual, playful approach. The content seems to attract more male viewers given the focus on a science experiment with an element of surprise and excitement.",109
VQz29g5ksU8,0.01,0.1,0.6,0.2,0.07,0.02,0.75,0.25,"This video appears to focus on topics such as military service, drama, and filmography, which are likely to appeal more to younger audiences, particularly those in their 20s and 30s. The content seems to be more targeted towards males, given the emphasis on military experiences and popular culture references.",137
T-LwvrZBVZk,0.05,0.3,0.4,0.15,0.07,0.03,0.75,0.25,"This video likely appeals to younger audiences due to its fast-paced action and sci-fi elements. Given the focus on battles and technology, it is likely more appealing to male viewers.",104
6_mMze7FlEk,0.0,0.0,0.05,0.1,0.35,0.5,0.7,0.3,"This video focuses on herbal remedies and traditional medicine, topics that are typically more appealing to older audiences who might be interested in alternative health solutions. The emphasis on male health issues also suggests a higher male viewership.",160
HuaGOfzVBiU,0.0,0.25,0.5,0.15,0.1,0.0,0.7,0.3,"This video appeals to a younger audience, particularly those in their 20s, due to the adventurous and survival themes. It's more likely to be watched by males as it involves outdoor and survival elements, which typically attract a male audience.",389
6E8D6vdLyaQ,0.01,0.05,0.15,0.35,0.3,0.14,0.7,0.3,"This video focuses on business operations, employee management, and international travel, which are topics more relevant to adults, particularly those in their 30s and 40s. The majority male audience prediction is due to the business and technical themes prevalent throughout the video.",137
9r-4CTqnSIY,0.2,0.5,0.2,0.05,0.03,0.02,0.7,0.3,"This video is likely to appeal to a younger audience due to its animated format, fast-paced action, and imaginative storyline. The content's focus on battles and adventure is typically more popular among male viewers, particularly in the teenage demographic.",176
tcaeksOxeDg,0.0,0.1,0.3,0.4,0.15,0.05,0.7,0.3,"This video seems to target a more mature audience with its complex storyline involving crime and police work, which is often appealing to adults in their 20s to 40s. The action and gritty nature may also attract more male viewers who are typically drawn to this type of content.",121
